individual_id,T,alpha,eta,fitness
0,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
1,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
2,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
3,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
4,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
5,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
6,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
7,9,0.1111111111111111,0.1111111111111111,2133.7539923923196
8,2,0.5,0.5,2218.1043080529025
9,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
10,2,0.5,0.5,2218.1043080529025
11,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
12,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
13,5,0.2,0.2,2197.371439560247
14,2,0.5,0.5,2218.1043080529025
15,2,0.5,0.5,2218.1043080529025
16,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
17,6,0.16666666666666666,0.16666666666666666,2116.0020454892087
18,2,0.5,0.5,2218.1043080529025
19,2,0.5,0.5,2218.1043080529025
