individual_id,T,alpha,eta,fitness
0,102,0.00980392156862745,0.00980392156862745,2257.016703077256
1,102,0.00980392156862745,0.00980392156862745,2257.016703077256
2,102,0.00980392156862745,0.00980392156862745,2257.016703077256
3,102,0.00980392156862745,0.00980392156862745,2257.016703077256
4,101,0.009900990099009901,0.009900990099009901,2278.595091628342
5,102,0.00980392156862745,0.00980392156862745,2257.016703077256
6,101,0.009900990099009901,0.009900990099009901,2278.595091628342
7,103,0.009708737864077669,0.009708737864077669,2358.5026522160374
8,102,0.00980392156862745,0.00980392156862745,2257.016703077256
9,101,0.009900990099009901,0.009900990099009901,2278.595091628342
10,102,0.00980392156862745,0.00980392156862745,2257.016703077256
11,104,0.009615384615384616,0.009615384615384616,2343.2412231970966
12,105,0.009523809523809525,0.009523809523809525,2551.306445529662
13,104,0.009615384615384616,0.009615384615384616,2343.2412231970966
14,105,0.009523809523809525,0.009523809523809525,2551.306445529662
15,102,0.00980392156862745,0.00980392156862745,2257.016703077256
16,102,0.00980392156862745,0.00980392156862745,2257.016703077256
17,102,0.00980392156862745,0.00980392156862745,2257.016703077256
18,104,0.009615384615384616,0.009615384615384616,2343.2412231970966
19,101,0.009900990099009901,0.009900990099009901,2278.595091628342
